buyer_name,buyer_id,company_name,industry,city,state,phone,company_domain,website,company_linkedin,employee_count,estimated_revenue,founded_year,description,owner_name,owner_title,owner_linkedin,owner_email,connection_request,inmail,linkedin_search_url,status,outreach_sent_date,seller_responded,seller_interested,response_notes,next_action,source,date_added
Freight Brokers (FURA),freight_brokers_fura,Dana Levitt Personal Concierge Services,logistics,San Francisco,CA,+14156993836,,,,,,,,,,,,Hi there — representing buyers actively acquiring logistics & freight businesses. Thought it worth a quick connect — no pressure.,"Hi there,

My name is Jordi Quevedo-Valls and I represent buyers actively acquiring logistics and freight businesses across the US.

We have a well-capitalized buyer specifically looking for businesses like Dana Levitt Personal Concierge Services. Freight and transportation businesses are trading at strong multiples right now, and buyers are moving quickly.

If you're curious about what your business might be worth or what an exit could look like, I'd love to have a brief confidential conversation.

Would a 15-minute call work for you this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Dana%20Levitt%20Personal%20Concierge%20Services%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Freight Brokers (FURA),freight_brokers_fura,GroundJet Transportation,logistics,San Mateo,CA,+16502379522,,,,,,,,,,,,Hi there — representing buyers actively acquiring logistics & freight businesses. Thought it worth a quick connect — no pressure.,"Hi there,

My name is Jordi Quevedo-Valls and I represent buyers actively acquiring logistics and freight businesses across the US.

We have a well-capitalized buyer specifically looking for businesses like GroundJet Transportation. Freight and transportation businesses are trading at strong multiples right now, and buyers are moving quickly.

If you're curious about what your business might be worth or what an exit could look like, I'd love to have a brief confidential conversation.

Would a 15-minute call work for you this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22GroundJet%20Transportation%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Freight Brokers (FURA),freight_brokers_fura,Dedicated Deliveries,logistics,San Francisco,CA,+14159350777,,,,,,,,,,,,Hi there — representing buyers actively acquiring logistics & freight businesses. Thought it worth a quick connect — no pressure.,"Hi there,

My name is Jordi Quevedo-Valls and I represent buyers actively acquiring logistics and freight businesses across the US.

We have a well-capitalized buyer specifically looking for businesses like Dedicated Deliveries. Freight and transportation businesses are trading at strong multiples right now, and buyers are moving quickly.

If you're curious about what your business might be worth or what an exit could look like, I'd love to have a brief confidential conversation.

Would a 15-minute call work for you this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Dedicated%20Deliveries%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Freight Brokers (FURA),freight_brokers_fura,Bottom Line Delivery,logistics,San Francisco,CA,+14154980079,,,,,,,,,,,,Hi there — representing buyers actively acquiring logistics & freight businesses. Thought it worth a quick connect — no pressure.,"Hi there,

My name is Jordi Quevedo-Valls and I represent buyers actively acquiring logistics and freight businesses across the US.

We have a well-capitalized buyer specifically looking for businesses like Bottom Line Delivery. Freight and transportation businesses are trading at strong multiples right now, and buyers are moving quickly.

If you're curious about what your business might be worth or what an exit could look like, I'd love to have a brief confidential conversation.

Would a 15-minute call work for you this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Bottom%20Line%20Delivery%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Freight Brokers (FURA),freight_brokers_fura,Spirit Courier,logistics,San Francisco,CA,+14157162083,,,,,,,,,,,,Hi there — representing buyers actively acquiring logistics & freight businesses. Thought it worth a quick connect — no pressure.,"Hi there,

My name is Jordi Quevedo-Valls and I represent buyers actively acquiring logistics and freight businesses across the US.

We have a well-capitalized buyer specifically looking for businesses like Spirit Courier. Freight and transportation businesses are trading at strong multiples right now, and buyers are moving quickly.

If you're curious about what your business might be worth or what an exit could look like, I'd love to have a brief confidential conversation.

Would a 15-minute call work for you this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Spirit%20Courier%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Freight Brokers (FURA),freight_brokers_fura,Clear Out Enterprises,logistics,Oakland,CA,+15104783710,,,,,,,,,,,,Hi there — representing buyers actively acquiring logistics & freight businesses. Thought it worth a quick connect — no pressure.,"Hi there,

My name is Jordi Quevedo-Valls and I represent buyers actively acquiring logistics and freight businesses across the US.

We have a well-capitalized buyer specifically looking for businesses like Clear Out Enterprises. Freight and transportation businesses are trading at strong multiples right now, and buyers are moving quickly.

If you're curious about what your business might be worth or what an exit could look like, I'd love to have a brief confidential conversation.

Would a 15-minute call work for you this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Clear%20Out%20Enterprises%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Freight Brokers (FURA),freight_brokers_fura,Dig Courier,logistics,San Francisco,CA,+14157782878,,,,,,,,,,,,Hi there — representing buyers actively acquiring logistics & freight businesses. Thought it worth a quick connect — no pressure.,"Hi there,

My name is Jordi Quevedo-Valls and I represent buyers actively acquiring logistics and freight businesses across the US.

We have a well-capitalized buyer specifically looking for businesses like Dig Courier. Freight and transportation businesses are trading at strong multiples right now, and buyers are moving quickly.

If you're curious about what your business might be worth or what an exit could look like, I'd love to have a brief confidential conversation.

Would a 15-minute call work for you this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Dig%20Courier%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Freight Brokers (FURA),freight_brokers_fura,Godspeed Courier,logistics,San Francisco,CA,+14156261904,,,,,,,,,,,,Hi there — representing buyers actively acquiring logistics & freight businesses. Thought it worth a quick connect — no pressure.,"Hi there,

My name is Jordi Quevedo-Valls and I represent buyers actively acquiring logistics and freight businesses across the US.

We have a well-capitalized buyer specifically looking for businesses like Godspeed Courier. Freight and transportation businesses are trading at strong multiples right now, and buyers are moving quickly.

If you're curious about what your business might be worth or what an exit could look like, I'd love to have a brief confidential conversation.

Would a 15-minute call work for you this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Godspeed%20Courier%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Freight Brokers (FURA),freight_brokers_fura,Vantage Point Services,logistics,South San Francisco,CA,+16508757722,,,,,,,,,,,,Hi there — representing buyers actively acquiring logistics & freight businesses. Thought it worth a quick connect — no pressure.,"Hi there,

My name is Jordi Quevedo-Valls and I represent buyers actively acquiring logistics and freight businesses across the US.

We have a well-capitalized buyer specifically looking for businesses like Vantage Point Services. Freight and transportation businesses are trading at strong multiples right now, and buyers are moving quickly.

If you're curious about what your business might be worth or what an exit could look like, I'd love to have a brief confidential conversation.

Would a 15-minute call work for you this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Vantage%20Point%20Services%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Freight Brokers (FURA),freight_brokers_fura,Modern Express,logistics,Oakland,CA,+15104446245,,,,,,,,,,,,Hi there — representing buyers actively acquiring logistics & freight businesses. Thought it worth a quick connect — no pressure.,"Hi there,

My name is Jordi Quevedo-Valls and I represent buyers actively acquiring logistics and freight businesses across the US.

We have a well-capitalized buyer specifically looking for businesses like Modern Express. Freight and transportation businesses are trading at strong multiples right now, and buyers are moving quickly.

If you're curious about what your business might be worth or what an exit could look like, I'd love to have a brief confidential conversation.

Would a 15-minute call work for you this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Modern%20Express%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
