buyer_name,buyer_id,company_name,industry,city,state,phone,company_domain,website,company_linkedin,employee_count,estimated_revenue,founded_year,description,owner_name,owner_title,owner_linkedin,owner_email,connection_request,inmail,linkedin_search_url,status,outreach_sent_date,seller_responded,seller_interested,response_notes,next_action,source,date_added
Launch Point Partners,launch_point,Professional Machining Solutions,aerospace,Fremont,CA,+15105650947,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Professional Machining Solutions — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Professional%20Machining%20Solutions%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Launch Point Partners,launch_point,Level 2 Productions,aerospace,San Francisco,CA,+16502732464,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Level 2 Productions — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Level%202%20Productions%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Launch Point Partners,launch_point,Reason,aerospace,San Francisco,CA,+14158002062,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Reason — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Reason%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Launch Point Partners,launch_point,Antique Vibrator Museum,aerospace,San Francisco,CA,+14155906245,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Antique Vibrator Museum — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Antique%20Vibrator%20Museum%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Launch Point Partners,launch_point,Standard Metal Products,aerospace,San Francisco,CA,+14155466784,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Standard Metal Products — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Standard%20Metal%20Products%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Launch Point Partners,launch_point,Engineering For Kids,aerospace,San Francisco,CA,+14155270497,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Engineering For Kids — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Engineering%20For%20Kids%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Launch Point Partners,launch_point,Digital Revolution Media Center,aerospace,San Francisco,CA,+14153981200,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Digital Revolution Media Center — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Digital%20Revolution%20Media%20Center%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Launch Point Partners,launch_point,The Castro ,aerospace,San Francisco,CA,+14158640815,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like The Castro  — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22The%20Castro%20%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Launch Point Partners,launch_point,Alcatraz Island,aerospace,San Francisco,CA,+14155614900,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Alcatraz Island — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Alcatraz%20Island%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Launch Point Partners,launch_point,American Bookbinders Museum,aerospace,San Francisco,CA,+14158249754,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like American Bookbinders Museum — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22American%20Bookbinders%20Museum%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
