buyer_name,buyer_id,company_name,industry,city,state,phone,company_domain,website,company_linkedin,employee_count,estimated_revenue,founded_year,description,owner_name,owner_title,owner_linkedin,owner_email,connection_request,inmail,linkedin_search_url,status,outreach_sent_date,seller_responded,seller_interested,response_notes,next_action,source,date_added
Premier Construction,premier_construction,Square Biz Makes,construction,Flushing,NY,+19175159571,,,,,,,,,,,,Hi there — we have buyers specifically seeking construction/contracting businesses in NY. Happy to connect and share details.,"Hi there,

My name is Jordi Quevedo-Valls — I work with buyers specifically seeking construction and contracting businesses in NY.

We have a pre-qualified buyer looking for established businesses like Square Biz Makes. They understand the industry, have the capital, and can move quickly.

Even if you're not ready to sell today, understanding your current market value is valuable. Would you be open to a brief confidential conversation?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Square%20Biz%20Makes%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Premier Construction,premier_construction,Forte Bathroom And Kitchen,construction,New Rochelle,NY,+19145257003,,,,,,,,,,,,Hi there — we have buyers specifically seeking construction/contracting businesses in NY. Happy to connect and share details.,"Hi there,

My name is Jordi Quevedo-Valls — I work with buyers specifically seeking construction and contracting businesses in NY.

We have a pre-qualified buyer looking for established businesses like Forte Bathroom And Kitchen. They understand the industry, have the capital, and can move quickly.

Even if you're not ready to sell today, understanding your current market value is valuable. Would you be open to a brief confidential conversation?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Forte%20Bathroom%20And%20Kitchen%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Premier Construction,premier_construction,Handyman Innovations,construction,Fairfield,CT,+12033093444,,,,,,,,,,,,Hi there — we have buyers specifically seeking construction/contracting businesses in CT. Happy to connect and share details.,"Hi there,

My name is Jordi Quevedo-Valls — I work with buyers specifically seeking construction and contracting businesses in CT.

We have a pre-qualified buyer looking for established businesses like Handyman Innovations. They understand the industry, have the capital, and can move quickly.

Even if you're not ready to sell today, understanding your current market value is valuable. Would you be open to a brief confidential conversation?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Handyman%20Innovations%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Premier Construction,premier_construction,Chronos Contracting,construction,New York,NY,+19179151683,,,,,,,,,,,,Hi there — we have buyers specifically seeking construction/contracting businesses in NY. Happy to connect and share details.,"Hi there,

My name is Jordi Quevedo-Valls — I work with buyers specifically seeking construction and contracting businesses in NY.

We have a pre-qualified buyer looking for established businesses like Chronos Contracting. They understand the industry, have the capital, and can move quickly.

Even if you're not ready to sell today, understanding your current market value is valuable. Would you be open to a brief confidential conversation?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Chronos%20Contracting%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Premier Construction,premier_construction,K.F. Kitchen Cabinets,construction,Brooklyn,NY,+17182375800,,,,,,,,,,,,Hi there — we have buyers specifically seeking construction/contracting businesses in NY. Happy to connect and share details.,"Hi there,

My name is Jordi Quevedo-Valls — I work with buyers specifically seeking construction and contracting businesses in NY.

We have a pre-qualified buyer looking for established businesses like K.F. Kitchen Cabinets. They understand the industry, have the capital, and can move quickly.

Even if you're not ready to sell today, understanding your current market value is valuable. Would you be open to a brief confidential conversation?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22K.F.%20Kitchen%20Cabinets%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Premier Construction,premier_construction,R&L General Contractors Masonry,construction,Staten Island,NY,+13475520957,,,,,,,,,,,,Hi there — we have buyers specifically seeking construction/contracting businesses in NY. Happy to connect and share details.,"Hi there,

My name is Jordi Quevedo-Valls — I work with buyers specifically seeking construction and contracting businesses in NY.

We have a pre-qualified buyer looking for established businesses like R&L General Contractors Masonry. They understand the industry, have the capital, and can move quickly.

Even if you're not ready to sell today, understanding your current market value is valuable. Would you be open to a brief confidential conversation?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22R%26L%20General%20Contractors%20Masonry%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Premier Construction,premier_construction,Seabeast Construction and Design Group,construction,Montville,NJ,+18622280532,,,,,,,,,,,,Hi there — we have buyers specifically seeking construction/contracting businesses in NJ. Happy to connect and share details.,"Hi there,

My name is Jordi Quevedo-Valls — I work with buyers specifically seeking construction and contracting businesses in NJ.

We have a pre-qualified buyer looking for established businesses like Seabeast Construction and Design Group. They understand the industry, have the capital, and can move quickly.

Even if you're not ready to sell today, understanding your current market value is valuable. Would you be open to a brief confidential conversation?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Seabeast%20Construction%20and%20Design%20Group%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Premier Construction,premier_construction,Fabian Construction,construction,Manhattan,NY,+19178568187,,,,,,,,,,,,Hi there — we have buyers specifically seeking construction/contracting businesses in NY. Happy to connect and share details.,"Hi there,

My name is Jordi Quevedo-Valls — I work with buyers specifically seeking construction and contracting businesses in NY.

We have a pre-qualified buyer looking for established businesses like Fabian Construction. They understand the industry, have the capital, and can move quickly.

Even if you're not ready to sell today, understanding your current market value is valuable. Would you be open to a brief confidential conversation?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Fabian%20Construction%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Premier Construction,premier_construction,Marksmen Construction,construction,Brooklyn,NY,+13472769722,,,,,,,,,,,,Hi there — we have buyers specifically seeking construction/contracting businesses in NY. Happy to connect and share details.,"Hi there,

My name is Jordi Quevedo-Valls — I work with buyers specifically seeking construction and contracting businesses in NY.

We have a pre-qualified buyer looking for established businesses like Marksmen Construction. They understand the industry, have the capital, and can move quickly.

Even if you're not ready to sell today, understanding your current market value is valuable. Would you be open to a brief confidential conversation?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Marksmen%20Construction%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Premier Construction,premier_construction,Platinum Painting Service,construction,Brooklyn,NY,+13327330242,,,,,,,,,,,,Hi there — we have buyers specifically seeking construction/contracting businesses in NY. Happy to connect and share details.,"Hi there,

My name is Jordi Quevedo-Valls — I work with buyers specifically seeking construction and contracting businesses in NY.

We have a pre-qualified buyer looking for established businesses like Platinum Painting Service. They understand the industry, have the capital, and can move quickly.

Even if you're not ready to sell today, understanding your current market value is valuable. Would you be open to a brief confidential conversation?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Platinum%20Painting%20Service%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
