buyer_name,buyer_id,company_name,industry,city,state,phone,company_domain,website,company_linkedin,employee_count,estimated_revenue,founded_year,description,owner_name,owner_title,owner_linkedin,owner_email,connection_request,inmail,linkedin_search_url,status,outreach_sent_date,seller_responded,seller_interested,response_notes,next_action,source,date_added
Everest,everest,Zuckerberg San Francisco General Hospital and Trauma Center,general,San Francisco,CA,+16282068000,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Zuckerberg San Francisco General Hospital and Trauma Center. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Zuckerberg San Francisco General Hospital and Trauma Center.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Zuckerberg%20San%20Francisco%20General%20Hospital%20and%20Trauma%20Center%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,General SF,general,San Francisco,CA,+16503031515,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like General SF. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like General SF.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22General%20SF%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,The General Car insurance,general,San Francisco,CA,+18443280306,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like The General Car insurance. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like The General Car insurance.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22The%20General%20Car%20insurance%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,Diamond Head General Store,general,San Bruno,CA,,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Diamond Head General Store. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Diamond Head General Store.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Diamond%20Head%20General%20Store%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,General Store,general,San Francisco,CA,+14156820600,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like General Store. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like General Store.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22General%20Store%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,San Francisco General Hospital Preop Anesthesia Clinic,general,San Francisco,CA,+14152065693,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like San Francisco General Hospital Preop Anesthesia Clinic. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like San Francisco General Hospital Preop Anesthesia Clinic.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22San%20Francisco%20General%20Hospital%20Preop%20Anesthesia%20Clinic%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,General Merchandise,general,San Francisco,CA,+14156417010,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like General Merchandise. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like General Merchandise.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22General%20Merchandise%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,Hill Top General Store,general,San Francisco,CA,+14158298134,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Hill Top General Store. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Hill Top General Store.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Hill%20Top%20General%20Store%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,Greener Bay Construction & Remodeling,general,San Francisco,CA,+14156608305,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Greener Bay Construction & Remodeling. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Greener Bay Construction & Remodeling.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Greener%20Bay%20Construction%20%26%20Remodeling%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,We Do Construction,general,San Francisco,CA,+14154165494,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like We Do Construction. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like We Do Construction.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22We%20Do%20Construction%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,Jones IT,it,San Francisco,CA,+14155787111,,,,,,,,,,,,Hi there — I'm working with a PE group acquiring IT/MSP businesses in CA. No pressure — just wanted to connect and share some market intel.,"Hi there,

I'm Jordi Quevedo-Valls, a business broker focused on technology and IT services acquisitions.

We're currently working with a PE-backed buyer specifically looking to acquire MSP/IT services businesses in CA. They're funded, experienced operators — and they move fast when they find the right fit.

Jones IT caught our attention. If you've ever thought about an exit or partial liquidity event, now might be a great time to understand your options — multiples in IT services are strong right now.

Would you be open to a confidential 15-minute call this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Jones%20IT%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,Tech Medic SF,it,South San Francisco,CA,+16508928742,,,,,,,,,,,,Hi there — I'm working with a PE group acquiring IT/MSP businesses in CA. No pressure — just wanted to connect and share some market intel.,"Hi there,

I'm Jordi Quevedo-Valls, a business broker focused on technology and IT services acquisitions.

We're currently working with a PE-backed buyer specifically looking to acquire MSP/IT services businesses in CA. They're funded, experienced operators — and they move fast when they find the right fit.

Tech Medic SF caught our attention. If you've ever thought about an exit or partial liquidity event, now might be a great time to understand your options — multiples in IT services are strong right now.

Would you be open to a confidential 15-minute call this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Tech%20Medic%20SF%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,BH Tech Connection,it,San Francisco,CA,+14159337742,,,,,,,,,,,,Hi there — I'm working with a PE group acquiring IT/MSP businesses in CA. No pressure — just wanted to connect and share some market intel.,"Hi there,

I'm Jordi Quevedo-Valls, a business broker focused on technology and IT services acquisitions.

We're currently working with a PE-backed buyer specifically looking to acquire MSP/IT services businesses in CA. They're funded, experienced operators — and they move fast when they find the right fit.

BH Tech Connection caught our attention. If you've ever thought about an exit or partial liquidity event, now might be a great time to understand your options — multiples in IT services are strong right now.

Would you be open to a confidential 15-minute call this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22BH%20Tech%20Connection%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,Bay Area Computer Repairs,it,San Bruno,CA,+14153688544,,,,,,,,,,,,Hi there — I'm working with a PE group acquiring IT/MSP businesses in CA. No pressure — just wanted to connect and share some market intel.,"Hi there,

I'm Jordi Quevedo-Valls, a business broker focused on technology and IT services acquisitions.

We're currently working with a PE-backed buyer specifically looking to acquire MSP/IT services businesses in CA. They're funded, experienced operators — and they move fast when they find the right fit.

Bay Area Computer Repairs caught our attention. If you've ever thought about an exit or partial liquidity event, now might be a great time to understand your options — multiples in IT services are strong right now.

Would you be open to a confidential 15-minute call this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Bay%20Area%20Computer%20Repairs%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,Bay Area Tech Hero,it,San Anselmo,CA,+14158798647,,,,,,,,,,,,Hi there — I'm working with a PE group acquiring IT/MSP businesses in CA. No pressure — just wanted to connect and share some market intel.,"Hi there,

I'm Jordi Quevedo-Valls, a business broker focused on technology and IT services acquisitions.

We're currently working with a PE-backed buyer specifically looking to acquire MSP/IT services businesses in CA. They're funded, experienced operators — and they move fast when they find the right fit.

Bay Area Tech Hero caught our attention. If you've ever thought about an exit or partial liquidity event, now might be a great time to understand your options — multiples in IT services are strong right now.

Would you be open to a confidential 15-minute call this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Bay%20Area%20Tech%20Hero%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,It's Binh Repaired,it,Milpitas,CA,+14088372464,,,,,,,,,,,,Hi there — I'm working with a PE group acquiring IT/MSP businesses in CA. No pressure — just wanted to connect and share some market intel.,"Hi there,

I'm Jordi Quevedo-Valls, a business broker focused on technology and IT services acquisitions.

We're currently working with a PE-backed buyer specifically looking to acquire MSP/IT services businesses in CA. They're funded, experienced operators — and they move fast when they find the right fit.

It's Binh Repaired caught our attention. If you've ever thought about an exit or partial liquidity event, now might be a great time to understand your options — multiples in IT services are strong right now.

Would you be open to a confidential 15-minute call this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22It%27s%20Binh%20Repaired%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,24hourtek,it,San Francisco,CA,+18553780787,,,,,,,,,,,,Hi there — I'm working with a PE group acquiring IT/MSP businesses in CA. No pressure — just wanted to connect and share some market intel.,"Hi there,

I'm Jordi Quevedo-Valls, a business broker focused on technology and IT services acquisitions.

We're currently working with a PE-backed buyer specifically looking to acquire MSP/IT services businesses in CA. They're funded, experienced operators — and they move fast when they find the right fit.

24hourtek caught our attention. If you've ever thought about an exit or partial liquidity event, now might be a great time to understand your options — multiples in IT services are strong right now.

Would you be open to a confidential 15-minute call this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%2224hourtek%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,TL Computer Repair Shop,it,San Rafael,CA,+14155782914,,,,,,,,,,,,Hi there — I'm working with a PE group acquiring IT/MSP businesses in CA. No pressure — just wanted to connect and share some market intel.,"Hi there,

I'm Jordi Quevedo-Valls, a business broker focused on technology and IT services acquisitions.

We're currently working with a PE-backed buyer specifically looking to acquire MSP/IT services businesses in CA. They're funded, experienced operators — and they move fast when they find the right fit.

TL Computer Repair Shop caught our attention. If you've ever thought about an exit or partial liquidity event, now might be a great time to understand your options — multiples in IT services are strong right now.

Would you be open to a confidential 15-minute call this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22TL%20Computer%20Repair%20Shop%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,Mac Repair SF,it,San Francisco,CA,+14152259053,,,,,,,,,,,,Hi there — I'm working with a PE group acquiring IT/MSP businesses in CA. No pressure — just wanted to connect and share some market intel.,"Hi there,

I'm Jordi Quevedo-Valls, a business broker focused on technology and IT services acquisitions.

We're currently working with a PE-backed buyer specifically looking to acquire MSP/IT services businesses in CA. They're funded, experienced operators — and they move fast when they find the right fit.

Mac Repair SF caught our attention. If you've ever thought about an exit or partial liquidity event, now might be a great time to understand your options — multiples in IT services are strong right now.

Would you be open to a confidential 15-minute call this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Mac%20Repair%20SF%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Everest,everest,Itekh Electronics,it,San Pablo,CA,+15102532636,,,,,,,,,,,,Hi there — I'm working with a PE group acquiring IT/MSP businesses in CA. No pressure — just wanted to connect and share some market intel.,"Hi there,

I'm Jordi Quevedo-Valls, a business broker focused on technology and IT services acquisitions.

We're currently working with a PE-backed buyer specifically looking to acquire MSP/IT services businesses in CA. They're funded, experienced operators — and they move fast when they find the right fit.

Itekh Electronics caught our attention. If you've ever thought about an exit or partial liquidity event, now might be a great time to understand your options — multiples in IT services are strong right now.

Would you be open to a confidential 15-minute call this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Itekh%20Electronics%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
