buyer_name,buyer_id,company_name,industry,city,state,phone,company_domain,website,company_linkedin,employee_count,estimated_revenue,founded_year,description,owner_name,owner_title,owner_linkedin,owner_email,connection_request,inmail,linkedin_search_url,status,outreach_sent_date,seller_responded,seller_interested,response_notes,next_action,source,date_added
Neul Capital Holdings,neul_capital,Simplify Financial Planning,financial services,San Francisco,CA,+14152600123,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Simplify Financial Planning. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Simplify Financial Planning.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Simplify%20Financial%20Planning%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Neul Capital Holdings,neul_capital,"Samantha N Dinh, CFP - Paragon Financial Planning",financial services,Alameda,CA,+15102275354,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Samantha N Dinh, CFP - Paragon Financial Planning. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Samantha N Dinh, CFP - Paragon Financial Planning.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Samantha%20N%20Dinh%2C%20CFP%20-%20Paragon%20Financial%20Planning%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Neul Capital Holdings,neul_capital,"Vladislav Pelevin, CFA, CPA",financial services,San Francisco,CA,+14158878078,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Vladislav Pelevin, CFA, CPA. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Vladislav Pelevin, CFA, CPA.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Vladislav%20Pelevin%2C%20CFA%2C%20CPA%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Neul Capital Holdings,neul_capital,"Melissa Fong, CPA",financial services,San Francisco,CA,+14154240740,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Melissa Fong, CPA. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Melissa Fong, CPA.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Melissa%20Fong%2C%20CPA%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Neul Capital Holdings,neul_capital,Lula Financial,financial services,Oakland,CA,+14156375087,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Lula Financial. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Lula Financial.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Lula%20Financial%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Neul Capital Holdings,neul_capital,"Gary C Wong, CPA",financial services,Piedmont,CA,+15104269060,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Gary C Wong, CPA. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Gary C Wong, CPA.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Gary%20C%20Wong%2C%20CPA%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Neul Capital Holdings,neul_capital,Imax Credit Repair Firm,financial services,San Francisco,CA,+14155484148,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Imax Credit Repair Firm. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Imax Credit Repair Firm.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Imax%20Credit%20Repair%20Firm%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Neul Capital Holdings,neul_capital,Jutta Reichert Associates,financial services,San Francisco,CA,+14152906641,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Jutta Reichert Associates. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Jutta Reichert Associates.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Jutta%20Reichert%20Associates%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Neul Capital Holdings,neul_capital,Burgess Financial Planning,financial services,San Francisco,CA,+14155251041,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Burgess Financial Planning. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Burgess Financial Planning.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Burgess%20Financial%20Planning%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Neul Capital Holdings,neul_capital,Jones IT,it,San Francisco,CA,+14155787111,,,,,,,,,,,,Hi there — I'm working with a PE group acquiring IT/MSP businesses in CA. No pressure — just wanted to connect and share some market intel.,"Hi there,

I'm Jordi Quevedo-Valls, a business broker focused on technology and IT services acquisitions.

We're currently working with a PE-backed buyer specifically looking to acquire MSP/IT services businesses in CA. They're funded, experienced operators — and they move fast when they find the right fit.

Jones IT caught our attention. If you've ever thought about an exit or partial liquidity event, now might be a great time to understand your options — multiples in IT services are strong right now.

Would you be open to a confidential 15-minute call this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Jones%20IT%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
