buyer_name,buyer_id,company_name,industry,city,state,phone,company_domain,website,company_linkedin,employee_count,estimated_revenue,founded_year,description,owner_name,owner_title,owner_linkedin,owner_email,connection_request,inmail,linkedin_search_url,status,outreach_sent_date,seller_responded,seller_interested,response_notes,next_action,source,date_added
Baruk Capital,baruk_capital,Emanuel's Carpets Installation,home services,Houston,TX,+12819780340,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in TX. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across TX.

I came across Emanuel's Carpets Installation and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Emanuel%27s%20Carpets%20Installation%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Baruk Capital,baruk_capital,Deep Rock Foundations,home services,League City,TX,+12817567301,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in TX. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across TX.

I came across Deep Rock Foundations and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Deep%20Rock%20Foundations%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Baruk Capital,baruk_capital,Your Home Electrical and Handyman Services,home services,Richmond,TX,+17136322732,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in TX. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across TX.

I came across Your Home Electrical and Handyman Services and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Your%20Home%20Electrical%20and%20Handyman%20Services%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Baruk Capital,baruk_capital,Mike's Plumbing,home services,The Woodlands,TX,+18325305959,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in TX. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across TX.

I came across Mike's Plumbing and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Mike%27s%20Plumbing%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Baruk Capital,baruk_capital,Triple R Fence,home services,La Marque,TX,+12545482747,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in TX. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across TX.

I came across Triple R Fence and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Triple%20R%20Fence%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Baruk Capital,baruk_capital,Assembly Worx,home services,Houston,TX,+18889799679,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in TX. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across TX.

I came across Assembly Worx and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Assembly%20Worx%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Baruk Capital,baruk_capital,Blinds and Shutters houston,home services,Houston,TX,+12819321238,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in TX. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across TX.

I came across Blinds and Shutters houston and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Blinds%20and%20Shutters%20houston%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Baruk Capital,baruk_capital,TrustyWrench,home services,Houston,TX,+17139335602,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in TX. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across TX.

I came across TrustyWrench and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22TrustyWrench%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Baruk Capital,baruk_capital,Sunbelt Mechanical,home services,Houston,TX,+18325099875,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in TX. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across TX.

I came across Sunbelt Mechanical and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Sunbelt%20Mechanical%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Baruk Capital,baruk_capital,Lone Star General Remodeling,home services,Houston,TX,+13464259986,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in TX. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across TX.

I came across Lone Star General Remodeling and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Lone%20Star%20General%20Remodeling%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
